id_publicacion,titulo,año,area_ia,palabra_clave,venue,tipo_venue,numero_citas,nombre_autor,orden_autor,nombre_institucion,pais_institucion
PUB001,Modelos multimodales aplicados a banca digital,2024,IA Generativa,prompt engineering,Computación y Sistemas,Revista,7,Diego Vargas,1,Universidad Politécnica de Madrid,España
PUB001,Modelos multimodales aplicados a banca digital,2024,IA Generativa,prompt engineering,Computación y Sistemas,Revista,7,Renata Villanueva,2,Universidad de Barcelona,España
PUB001,Modelos multimodales aplicados a banca digital,2024,IA Generativa,prompt engineering,Computación y Sistemas,Revista,7,Paula Bustamante,3,Stanford University,Estados Unidos
PUB001,Modelos multimodales aplicados a banca digital,2024,IA Generativa,prompt engineering,Computación y Sistemas,Revista,7,Andrea Salas,4,Universidad de Buenos Aires,Argentina
PUB002,Personalización de contenido en plataformas de agricultura,2024,Sistemas de Recomendación,ranking,KDD,Conferencia,19,Diego Vargas,1,Universidad Politécnica de Madrid,España
PUB002,Personalización de contenido en plataformas de agricultura,2024,Sistemas de Recomendación,ranking,KDD,Conferencia,19,Joaquín Espinoza,2,Universidad de Barcelona,España
PUB002,Personalización de contenido en plataformas de agricultura,2024,Sistemas de Recomendación,ranking,KDD,Conferencia,19,Olivia Brown,3,Universidad de Barcelona,España
PUB002,Personalización de contenido en plataformas de agricultura,2024,Sistemas de Recomendación,ranking,KDD,Conferencia,19,Juan Torres,4,Universidad de Lima,Perú
PUB002,Personalización de contenido en plataformas de agricultura,2024,Sistemas de Recomendación,ranking,KDD,Conferencia,19,Gabriela Morales,5,Universidad de Buenos Aires,Argentina
PUB003,Predicción de fraude bancario mediante aprendizaje automático,2024,Machine Learning,random forest,CLEI,Conferencia,33,Jian Wang,1,Universidad Politécnica de Madrid,España
PUB003,Predicción de fraude bancario mediante aprendizaje automático,2024,Machine Learning,random forest,CLEI,Conferencia,33,Rodrigo Cárdenas,2,Universidad de Buenos Aires,Argentina
PUB004,Predicción de enfermedades mediante aprendizaje automático,2025,Machine Learning,XGBoost,NeurIPS,Conferencia,0,Alejandro Soto,1,Universidad de los Andes,Colombia
PUB004,Predicción de enfermedades mediante aprendizaje automático,2025,Machine Learning,XGBoost,NeurIPS,Conferencia,0,Isabella Núñez,2,University of California Berkeley,Estados Unidos
PUB005,Modelo predictivo para noticias periodísticas,2022,Machine Learning,interpretabilidad,JIISIC,Conferencia,68,Hugo Carrasco,1,Pontificia Universidad Católica de Chile,Chile
PUB005,Modelo predictivo para noticias periodísticas,2022,Machine Learning,interpretabilidad,JIISIC,Conferencia,68,Liam Anderson,2,Universidad del Pacífico,Perú
PUB005,Modelo predictivo para noticias periodísticas,2022,Machine Learning,interpretabilidad,JIISIC,Conferencia,68,Felipe Cárcamo,3,ETH Zürich,Suiza
PUB005,Modelo predictivo para noticias periodísticas,2022,Machine Learning,interpretabilidad,JIISIC,Conferencia,68,Jian Wang,4,Universidad Politécnica de Madrid,España
PUB005,Modelo predictivo para noticias periodísticas,2022,Machine Learning,interpretabilidad,JIISIC,Conferencia,68,Joaquín Espinoza,5,Universidad de Barcelona,España
PUB006,Detección de anomalías en banca digital,2024,Machine Learning,XGBoost,Computación y Sistemas,Revista,25,Alejandro Soto,1,Universidad de los Andes,Colombia
PUB006,Detección de anomalías en banca digital,2024,Machine Learning,XGBoost,Computación y Sistemas,Revista,25,Noah Williams,2,Universidad Politécnica de Madrid,España
PUB006,Detección de anomalías en banca digital,2024,Machine Learning,XGBoost,Computación y Sistemas,Revista,25,Liam Anderson,3,Universidad del Pacífico,Perú
PUB006,Detección de anomalías en banca digital,2024,Machine Learning,XGBoost,Computación y Sistemas,Revista,25,Kwame Mensah,4,Universidad de Buenos Aires,Argentina
PUB007,Análisis automático de pesca artesanal mediante visión computacional,2022,Visión Computacional,reconocimiento facial,ICCV,Conferencia,75,Andrea Salas,1,Universidad de Buenos Aires,Argentina
PUB007,Análisis automático de pesca artesanal mediante visión computacional,2022,Visión Computacional,reconocimiento facial,ICCV,Conferencia,75,Óscar Cornejo,2,Universidad Nacional de Ingeniería,Perú
PUB008,Resumen automático de documentos noticias periodísticas,2023,NLP,tokenización,ACL,Conferencia,41,Sofía Castillo,1,University of California Berkeley,Estados Unidos
PUB008,Resumen automático de documentos noticias periodísticas,2023,NLP,tokenización,ACL,Conferencia,41,Lucía Ramírez,2,Technische Universität München,Alemania
PUB008,Resumen automático de documentos noticias periodísticas,2023,NLP,tokenización,ACL,Conferencia,41,Natalia Bravo,3,Universidad Nacional Mayor de San Marcos,Perú
PUB008,Resumen automático de documentos noticias periodísticas,2023,NLP,tokenización,ACL,Conferencia,41,Esteban Pacheco,4,Universidad Nacional Autónoma de México,México
PUB008,Resumen automático de documentos noticias periodísticas,2023,NLP,tokenización,ACL,Conferencia,41,Mei Li,5,University of California Berkeley,Estados Unidos
PUB009,Personalización de contenido en plataformas de salud pública,2025,Sistemas de Recomendación,embeddings de usuario,KDD,Conferencia,7,Daniela Ponce,1,Universidad del Pacífico,Perú
PUB009,Personalización de contenido en plataformas de salud pública,2025,Sistemas de Recomendación,embeddings de usuario,KDD,Conferencia,7,Kwame Mensah,2,Universidad de Buenos Aires,Argentina
PUB010,Análisis de sentimiento en minería usando transformers,2021,NLP,resumen automático,JIISIC,Conferencia,51,María Quispe,1,University of Oxford,Reino Unido
PUB010,Análisis de sentimiento en minería usando transformers,2021,NLP,resumen automático,JIISIC,Conferencia,51,Lucía Ramírez,2,Technische Universität München,Alemania
PUB010,Análisis de sentimiento en minería usando transformers,2021,NLP,resumen automático,JIISIC,Conferencia,51,Camila Rojas,3,Pontificia Universidad Católica del Perú,Perú
PUB010,Análisis de sentimiento en minería usando transformers,2021,NLP,resumen automático,JIISIC,Conferencia,51,Beatriz Olivares,4,Universidad Nacional de Ingeniería,Perú
PUB011,Clasificación de imágenes banca digital usando transfer learning,2021,Visión Computacional,data augmentation,JIISIC,Conferencia,41,Mei Li,1,University of California Berkeley,Estados Unidos
PUB011,Clasificación de imágenes banca digital usando transfer learning,2021,Visión Computacional,data augmentation,JIISIC,Conferencia,41,Emma Johnson,2,Tecnológico de Monterrey,México
PUB011,Clasificación de imágenes banca digital usando transfer learning,2021,Visión Computacional,data augmentation,JIISIC,Conferencia,41,Isabella Núñez,3,University of California Berkeley,Estados Unidos
PUB011,Clasificación de imágenes banca digital usando transfer learning,2021,Visión Computacional,data augmentation,JIISIC,Conferencia,41,Sebastián Paredes,4,Universidad Nacional de Ingeniería,Perú
PUB011,Clasificación de imágenes banca digital usando transfer learning,2021,Visión Computacional,data augmentation,JIISIC,Conferencia,41,Patricia Salinas,5,Universidad Nacional Mayor de San Marcos,Perú
PUB012,Filtrado colaborativo aplicado a educación superior,2023,Sistemas de Recomendación,embeddings de usuario,Information Sciences,Revista,34,Verónica Tapia,1,Pontificia Universidad Católica del Perú,Perú
PUB012,Filtrado colaborativo aplicado a educación superior,2023,Sistemas de Recomendación,embeddings de usuario,Information Sciences,Revista,34,Esteban Pacheco,2,Universidad Nacional Autónoma de México,México
PUB013,Aplicación de LLMs en documentos legales,2023,IA Generativa,GPT,AAAI,Conferencia,9,Valentina Cáceres,1,Pontificia Universidad Católica de Chile,Chile
PUB013,Aplicación de LLMs en documentos legales,2023,IA Generativa,GPT,AAAI,Conferencia,9,Luis Fernando Ríos,2,Stanford University,Estados Unidos
PUB013,Aplicación de LLMs en documentos legales,2023,IA Generativa,GPT,AAAI,Conferencia,9,Carlos Mendoza,3,Pontificia Universidad Católica de Chile,Chile
PUB014,Sistema de manipulación robótica para salud pública,2025,Robótica,control,ICRA,Conferencia,6,Hiroshi Sato,1,Universidad del Pacífico,Perú
PUB014,Sistema de manipulación robótica para salud pública,2025,Robótica,control,ICRA,Conferencia,6,Patricia Salinas,2,Universidad Nacional Mayor de San Marcos,Perú
PUB014,Sistema de manipulación robótica para salud pública,2025,Robótica,control,ICRA,Conferencia,6,Marco Rossi,3,University of Oxford,Reino Unido
PUB014,Sistema de manipulación robótica para salud pública,2025,Robótica,control,ICRA,Conferencia,6,Mauricio Toledo,4,University of Oxford,Reino Unido
PUB015,Filtrado colaborativo aplicado a redes sociales,2023,Sistemas de Recomendación,personalización,RecSys,Conferencia,60,Diego Vargas,1,Universidad Politécnica de Madrid,España
PUB015,Filtrado colaborativo aplicado a redes sociales,2023,Sistemas de Recomendación,personalización,RecSys,Conferencia,60,Carlos Mendoza,2,Pontificia Universidad Católica de Chile,Chile
PUB016,Sistema de recomendación para noticias periodísticas,2025,Sistemas de Recomendación,filtrado colaborativo,JIISIC,Conferencia,3,Aisha Okonkwo,1,Pontificia Universidad Católica de Chile,Chile
PUB016,Sistema de recomendación para noticias periodísticas,2025,Sistemas de Recomendación,filtrado colaborativo,JIISIC,Conferencia,3,Joaquín Espinoza,2,Universidad de Barcelona,España
PUB016,Sistema de recomendación para noticias periodísticas,2025,Sistemas de Recomendación,filtrado colaborativo,JIISIC,Conferencia,3,Mónica Delgado,3,Universidad de São Paulo,Brasil
PUB016,Sistema de recomendación para noticias periodísticas,2025,Sistemas de Recomendación,filtrado colaborativo,JIISIC,Conferencia,3,Aiko Tanaka,4,Technische Universität München,Alemania
PUB017,Segmentación de imágenes atención al cliente con deep learning,2023,Visión Computacional,segmentación,Revista Iberoamericana de IA,Revista,47,Fernando Aguirre,1,Universidad de los Andes,Colombia
PUB017,Segmentación de imágenes atención al cliente con deep learning,2023,Visión Computacional,segmentación,Revista Iberoamericana de IA,Revista,47,Beatriz Olivares,2,Universidad Nacional de Ingeniería,Perú
PUB017,Segmentación de imágenes atención al cliente con deep learning,2023,Visión Computacional,segmentación,Revista Iberoamericana de IA,Revista,47,Pierre Dubois,3,University of Toronto,Canadá
PUB018,Sistema de manipulación robótica para minería,2024,Robótica,planificación de trayectorias,IROS,Conferencia,38,Marco Rossi,1,University of Oxford,Reino Unido
PUB018,Sistema de manipulación robótica para minería,2024,Robótica,planificación de trayectorias,IROS,Conferencia,38,Hiroshi Sato,2,Universidad del Pacífico,Perú
PUB018,Sistema de manipulación robótica para minería,2024,Robótica,planificación de trayectorias,IROS,Conferencia,38,Patricia Salinas,3,Universidad Nacional Mayor de San Marcos,Perú
PUB018,Sistema de manipulación robótica para minería,2024,Robótica,planificación de trayectorias,IROS,Conferencia,38,Carolina Jiménez,4,Universidad de Buenos Aires,Argentina
PUB018,Sistema de manipulación robótica para minería,2024,Robótica,planificación de trayectorias,IROS,Conferencia,38,Ethan Davis,5,University of Oxford,Reino Unido
PUB019,Resumen automático de documentos educación superior,2022,NLP,NER,Nature Machine Intelligence,Revista,45,Lucía Ramírez,1,Technische Universität München,Alemania
PUB019,Resumen automático de documentos educación superior,2022,NLP,NER,Nature Machine Intelligence,Revista,45,Mateo Herrera,2,ETH Zürich,Suiza
PUB019,Resumen automático de documentos educación superior,2022,NLP,NER,Nature Machine Intelligence,Revista,45,Ahmed Hassan,3,Universidad Nacional Autónoma de México,México
PUB020,Aprendizaje por refuerzo aplicado a banca digital,2025,Robótica,percepción,ICRA,Conferencia,1,María Quispe,1,University of Oxford,Reino Unido
PUB020,Aprendizaje por refuerzo aplicado a banca digital,2025,Robótica,percepción,ICRA,Conferencia,1,Carlos Mendoza,2,Pontificia Universidad Católica de Chile,Chile
PUB020,Aprendizaje por refuerzo aplicado a banca digital,2025,Robótica,percepción,ICRA,Conferencia,1,Andrés Flores,3,University of Toronto,Canadá
PUB020,Aprendizaje por refuerzo aplicado a banca digital,2025,Robótica,percepción,ICRA,Conferencia,1,Marco Rossi,4,University of Oxford,Reino Unido
PUB020,Aprendizaje por refuerzo aplicado a banca digital,2025,Robótica,percepción,ICRA,Conferencia,1,Aiko Tanaka,5,Technische Universität München,Alemania
PUB021,Fine-tuning de modelos generativos para pesca artesanal,2024,IA Generativa,LLM,Revista Iberoamericana de IA,Revista,34,Valentina Cáceres,1,Pontificia Universidad Católica de Chile,Chile
PUB021,Fine-tuning de modelos generativos para pesca artesanal,2024,IA Generativa,LLM,Revista Iberoamericana de IA,Revista,34,Lucas Wilson,2,Universidad del Pacífico,Perú
PUB021,Fine-tuning de modelos generativos para pesca artesanal,2024,IA Generativa,LLM,Revista Iberoamericana de IA,Revista,34,Luis Fernando Ríos,3,Stanford University,Estados Unidos
PUB021,Fine-tuning de modelos generativos para pesca artesanal,2024,IA Generativa,LLM,Revista Iberoamericana de IA,Revista,34,Paula Bustamante,4,Stanford University,Estados Unidos
PUB021,Fine-tuning de modelos generativos para pesca artesanal,2024,IA Generativa,LLM,Revista Iberoamericana de IA,Revista,34,Andrés Flores,5,University of Toronto,Canadá
PUB022,Análisis de sentimiento en redes sociales usando transformers,2023,NLP,chatbots,JIISIC,Conferencia,35,Juan Torres,1,Universidad de Lima,Perú
PUB022,Análisis de sentimiento en redes sociales usando transformers,2023,NLP,chatbots,JIISIC,Conferencia,35,Camila Rojas,2,Pontificia Universidad Católica del Perú,Perú
PUB022,Análisis de sentimiento en redes sociales usando transformers,2023,NLP,chatbots,JIISIC,Conferencia,35,Beatriz Olivares,3,Universidad Nacional de Ingeniería,Perú
PUB023,Análisis de sentimiento en documentos legales usando transformers,2025,NLP,transformers,JIISIC,Conferencia,8,Juan Torres,1,Universidad de Lima,Perú
PUB023,Análisis de sentimiento en documentos legales usando transformers,2025,NLP,transformers,JIISIC,Conferencia,8,Andrea Salas,2,Universidad de Buenos Aires,Argentina
PUB023,Análisis de sentimiento en documentos legales usando transformers,2025,NLP,transformers,JIISIC,Conferencia,8,Ethan Davis,3,University of Oxford,Reino Unido
PUB023,Análisis de sentimiento en documentos legales usando transformers,2025,NLP,transformers,JIISIC,Conferencia,8,Esteban Pacheco,4,Universidad Nacional Autónoma de México,México
PUB023,Análisis de sentimiento en documentos legales usando transformers,2025,NLP,transformers,JIISIC,Conferencia,8,Marco Rossi,5,University of Oxford,Reino Unido
PUB024,Fine-tuning de modelos generativos para educación superior,2020,IA Generativa,fine-tuning,Revista Iberoamericana de IA,Revista,52,Luis Fernando Ríos,1,Stanford University,Estados Unidos
PUB024,Fine-tuning de modelos generativos para educación superior,2020,IA Generativa,fine-tuning,Revista Iberoamericana de IA,Revista,52,María Quispe,2,University of Oxford,Reino Unido
PUB025,Aplicación de LLMs en turismo,2025,IA Generativa,GPT,Artificial Intelligence Journal,Revista,7,Carlos Mendoza,1,Pontificia Universidad Católica de Chile,Chile
PUB025,Aplicación de LLMs en turismo,2025,IA Generativa,GPT,Artificial Intelligence Journal,Revista,7,Andrea Salas,2,Universidad de Buenos Aires,Argentina
PUB026,Detección de lesiones cutáneas mediante redes convolucionales,2021,Visión Computacional,transfer learning,CVPR,Conferencia,64,Beatriz Olivares,1,Universidad Nacional de Ingeniería,Perú
PUB026,Detección de lesiones cutáneas mediante redes convolucionales,2021,Visión Computacional,transfer learning,CVPR,Conferencia,64,Arjun Patel,2,Pontificia Universidad Católica del Perú,Perú
PUB027,Interpretabilidad de modelos de ML en historias clínicas,2025,Machine Learning,XGBoost,NeurIPS,Conferencia,6,Juan Torres,1,Universidad de Lima,Perú
PUB027,Interpretabilidad de modelos de ML en historias clínicas,2025,Machine Learning,XGBoost,NeurIPS,Conferencia,6,Wei Chen,2,University of Oxford,Reino Unido
PUB027,Interpretabilidad de modelos de ML en historias clínicas,2025,Machine Learning,XGBoost,NeurIPS,Conferencia,6,Alejandro Soto,3,Universidad de los Andes,Colombia
PUB027,Interpretabilidad de modelos de ML en historias clínicas,2025,Machine Learning,XGBoost,NeurIPS,Conferencia,6,Andrés Flores,4,University of Toronto,Canadá
PUB028,Segmentación de imágenes documentos legales con deep learning,2025,Visión Computacional,imágenes médicas,CVPR,Conferencia,8,Aiko Tanaka,1,Technische Universität München,Alemania
PUB028,Segmentación de imágenes documentos legales con deep learning,2025,Visión Computacional,imágenes médicas,CVPR,Conferencia,8,Gabriela Morales,2,Universidad de Buenos Aires,Argentina
PUB028,Segmentación de imágenes documentos legales con deep learning,2025,Visión Computacional,imágenes médicas,CVPR,Conferencia,8,Jimena Cuba,3,Pontificia Universidad Católica del Perú,Perú
PUB029,Percepción visual para robótica comercio electrónico,2022,Robótica,aprendizaje por refuerzo,JIISIC,Conferencia,69,Andrés Flores,1,University of Toronto,Canadá
PUB029,Percepción visual para robótica comercio electrónico,2022,Robótica,aprendizaje por refuerzo,JIISIC,Conferencia,69,Patricia Salinas,2,Universidad Nacional Mayor de San Marcos,Perú
PUB029,Percepción visual para robótica comercio electrónico,2022,Robótica,aprendizaje por refuerzo,JIISIC,Conferencia,69,Diego Vargas,3,Universidad Politécnica de Madrid,España
PUB030,Detección de anomalías en banca digital,2024,Machine Learning,clasificación,Nature Machine Intelligence,Revista,23,Mauricio Toledo,1,University of Oxford,Reino Unido
PUB030,Detección de anomalías en banca digital,2024,Machine Learning,clasificación,Nature Machine Intelligence,Revista,23,Alejandro Soto,2,Universidad de los Andes,Colombia
PUB030,Detección de anomalías en banca digital,2024,Machine Learning,clasificación,Nature Machine Intelligence,Revista,23,Ricardo Linares,3,Universidad de Chile,Chile
PUB030,Detección de anomalías en banca digital,2024,Machine Learning,clasificación,Nature Machine Intelligence,Revista,23,Fatima Al-Sayed,4,Stanford University,Estados Unidos
PUB031,Sistema de recomendación para noticias periodísticas,2021,Sistemas de Recomendación,embeddings de usuario,Information Sciences,Revista,83,Jimena Cuba,1,Pontificia Universidad Católica del Perú,Perú
PUB031,Sistema de recomendación para noticias periodísticas,2021,Sistemas de Recomendación,embeddings de usuario,Information Sciences,Revista,83,Sofía Castillo,2,University of California Berkeley,Estados Unidos
PUB032,Filtrado colaborativo aplicado a noticias periodísticas,2024,Sistemas de Recomendación,matrix factorization,Revista Iberoamericana de IA,Revista,3,Diego Vargas,1,Universidad Politécnica de Madrid,España
PUB032,Filtrado colaborativo aplicado a noticias periodísticas,2024,Sistemas de Recomendación,matrix factorization,Revista Iberoamericana de IA,Revista,3,Luis Fernando Ríos,2,Stanford University,Estados Unidos
PUB033,Sistema de recomendación para educación superior,2022,Sistemas de Recomendación,embeddings de usuario,KDD,Conferencia,69,Wei Chen,1,University of Oxford,Reino Unido
PUB033,Sistema de recomendación para educación superior,2022,Sistemas de Recomendación,embeddings de usuario,KDD,Conferencia,69,Natalia Bravo,2,Universidad Nacional Mayor de San Marcos,Perú
PUB034,Detección de enfermedades en textos en español,2022,NLP,resumen automático,Computational Linguistics,Revista,32,Wei Chen,1,University of Oxford,Reino Unido
PUB034,Detección de enfermedades en textos en español,2022,NLP,resumen automático,Computational Linguistics,Revista,32,Mateo Herrera,2,ETH Zürich,Suiza
PUB034,Detección de enfermedades en textos en español,2022,NLP,resumen automático,Computational Linguistics,Revista,32,Ethan Davis,3,University of Oxford,Reino Unido
